student_id,study_hours,final_score,section
S001,6.8,82.0,A
S002,3.4,72.0,B
S003,7.9,99.0,B
S004,8.4,100.0,C
S005,1.1,63.0,B
S006,2.7,69.0,A
S007,6.3,100.0,A
S008,5.2,72.0,B
S009,6.0,81.0,C
S010,3.9,66.0,A
S011,8.2,96.0,A
S012,7.9,87.0,B
S013,6.2,92.0,A
S014,8.8,100.0,C
S015,7.2,81.0,A
S016,3.9,65.0,A
S017,6.9,94.0,C
S018,3.6,78.0,A
S019,8.2,100.0,A
S020,5.9,100.0,A
S021,5.5,87.0,A
S022,4.3,68.0,A
S023,9.1,87.0,A
S024,5.6,86.0,A
S025,4.9,73.0,A
S026,5.1,77.0,B
S027,7.3,89.0,B
S028,6.9,90.0,A
S029,7.0,100.0,A
S030,7.1,94.0,B
S031,11.4,100.0,C
S032,5.0,72.0,C
S033,4.7,65.0,A
S034,4.0,70.0,A
S035,7.5,95.0,A
S036,8.8,100.0,A
S037,5.7,85.0,B
S038,3.9,999.0,B
S039,3.9,,A
S040,7.6,86.0,A
S041,7.9,89.0,B
S042,7.4,88.0,A
S043,4.3,93.0,C
S044,6.6,83.0,A
S045,6.3,94.0,C
S046,6.5,82.0,A
S047,8.2,100.0,C
S048,6.6,92.0,C
S049,7.7,95.0,C
S050,6.2,87.0,C
S051,6.7,85.0,C
S052,7.6,99.0,B
S053,2.4,61.0,C
S054,5.2,71.0,A
S055,4.8,69.0,B
S056,4.4,78.0,B
S057,5.3,95.0,C
S058,9.7,100.0,B
S059,3.8,72.0,A
S060,8.4,100.0,B
S061,1.8,71.0,A
S062,5.2,83.0,A
S063,6.4,85.0,B
S064,7.5,100.0,B
S065,7.8,100.0,A
S066,8.0,100.0,A
S067,5.1,82.0,A
S068,4.8,69.0,A
S069,8.1,88.0,A
S070,5.5,96.0,B
S071,2.8,81.0,A
S072,3.2,68.0,C
S073,3.7,69.0,C
S074,7.2,100.0,B
S075,6.4,79.0,A
S076,7.7,89.0,B
S077,4.9,85.0,C
S078,6.4,85.0,B
S079,7.6,95.0,C
S080,5.2,80.0,B
S081,7.1,96.0,B
S082,4.3,87.0,A
S083,5.1,81.0,B
S084,5.0,85.0,A
S085,3.0,,B
S086,7.2,93.0,C
S087,4.8,,A
S088,6.0,76.0,B
S089,7.2,86.0,A
S090,7.1,90.0,B
S091,7.7,100.0,A
S092,5.8,,C
S093,4.9,80.0,A
S094,5.8,81.0,C
S095,1.8,58.0,C
S096,2.4,72.0,B
S097,2.7,70.0,C
S098,3.5,,C
S099,7.0,91.0,C
S100,3.7,67.0,A
S101,5.1,79.0,B
S102,9.2,100.0,A
S103,5.1,82.0,B
S104,7.8,88.0,A
S105,3.7,73.0,B
S106,5.5,85.0,B
S107,3.6,,B
S108,5.2,96.0,B
S109,8.1,92.0,C
S110,1.7,58.0,C
S111,7.1,81.0,B
S112,6.6,85.0,B
S113,4.5,80.0,C
S114,2.4,74.0,A
S115,6.2,81.0,A
S116,4.7,73.0,A
S117,6.6,72.0,B
S118,6.1,85.0,B
S119,10.0,100.0,C
S120,5.4,78.0,B
